source_id,file_name,relative_path,file_extension,file_size,checksum_sha256,filesystem_mtime,document_type,title,document_internal_id,document_version,effective_version,document_status,subsystem,security_level,external_model_allowed,parse_status,notes
SRC-9E3D43D729,20240306-智加X100初样方案讨论会议纪要.docx,00_会议纪要/20240306-智加X100初样方案讨论会议纪要.docx,.docx,14393,e562e653af891b35ca22ff9df6dcefebde2aa1d5bdcc0f18c0123f27eb84d630,2024-03-07T09:18:42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-EAEED029C3,20240307-智加X100初样方案讨论会议纪要.docx,00_会议纪要/20240307-智加X100初样方案讨论会议纪要.docx,.docx,15354,036b6826dcd52e5a778ab485fb97598915febbdfd428e2537cc0bb0f07a4f95f,2024-03-07T11:18:38,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-921A42544A,2025-05-19-3D打印星后续计划沟通纪要.pdf,00_会议纪要/2025-05-19-3D打印星后续计划沟通纪要.pdf,.pdf,138560,d72a35eebca4583537f3619eeb01be1c4624b4a377e081e8b1c7ed42ee95f526,2025-06-05T11:29:28,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-D594B5BE1F,2025-06-13-3D打印星工作沟通纪要.pdf,00_会议纪要/2025-06-13-3D打印星工作沟通纪要.pdf,.pdf,112561,51e44010585c9e87ba274ee727bd46d614b2146711ae2bd9b98c3d037c4fdf28,2025-06-13T12:01:14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-19DD9BCD6A,2025-08-12_3D打印星智加X100载荷处理方式沟通纪要-签署.pdf,00_会议纪要/2025-08-12_3D打印星智加X100载荷处理方式沟通纪要-签署.pdf,.pdf,1094521,86defe6571c9e20aa3f97798051d3a47251d95833cf0a2ab8662e70296bd843d,2025-08-14T21:24:26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-0096C63AF0,2025-08-12_3D打印星智加X100载荷处理方式沟通纪要.docx,00_会议纪要/2025-08-12_3D打印星智加X100载荷处理方式沟通纪要.docx,.docx,25082,e43369a8af11cfe603dd061e1796eb4ebbad93fc18df7ec24f813d58c1f7ecf1,2025-08-12T15:08:10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-EED9A79B06,3D打印卫星每周工作进展-2025.6.20.pdf,00_会议纪要/3D打印卫星每周工作进展-2025.6.20.pdf,.pdf,136326,074970cae91283ccc436ccb94a22727e8766fd40aed6344fa26d57036972c282,2025-06-25T17:26:26,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-E150838109,SCS-01-20240712_3D打印卫星搭载计算载荷讨论纪要-李超.pdf,00_会议纪要/SCS-01-20240712_3D打印卫星搭载计算载荷讨论纪要-李超.pdf,.pdf,217063,73ce9ffd6a57e069a86436706c9fa6f959b5f8afe443676862cf6d492a296483,2024-07-12T17:14:20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-BDE67F4401,SCS-01-20240719-3D打印卫星搭载事项讨纪要论-颜迪颖.pdf,00_会议纪要/SCS-01-20240719-3D打印卫星搭载事项讨纪要论-颜迪颖.pdf,.pdf,161296,a8d2635f2910eb626293a2cf65523ccb6c4ad211a2f32ffd82f53a72c46d1294,2024-07-24T13:35:36,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
SRC-D5AAB29DC7,之江智加X100载荷沟通纪要-0722.docx,00_会议纪要/之江智加X100载荷沟通纪要-0722.docx,.docx,14738,769cdf80893f67795b4fd233c3d89c72ad9113a1924bee2ae47d941069bebc10,2025-07-22T15:13:10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,内部可用,YES,DONE,
