source_id,cells,chars,cjk_ratio,code_values,codes,doc_type,extractable,format,formula_hint,formulas,garbled,header_footer_pollution,headings,hidden_rows_cols,images,merged_cells,multi_header_sheets,null_ratio,numbered_sections,page_numbers,pages_or_sheets,parse_issue,parser,ref_file_words,related_sheets,relative_path,scanned,sheet_names,status_word_total,tables,toc,version_hits
SRC-E150838109,,590,0.57,,0,会议纪要,,pdf,0,,0,0,,,0,,,,0,0/2页,2,,,0,,00_会议纪要/SCS-01-20240712_3D打印卫星搭载计算载荷讨论纪要-李超.pdf,疑似扫描页 0/2(chars<50),,3,前5页检出0个,书签0条,0
SRC-19DD9BCD6A,,3990,0.54,,0,会议纪要,,pdf,0,,0,0,,,10,,,,16,0/9页,9,,,0,,00_会议纪要/2025-08-12_3D打印星智加X100载荷处理方式沟通纪要-签署.pdf,疑似扫描页 1/9(chars<50),,4,前5页检出1个,书签15条,0
SRC-D669ED4FD3,,7,0.0,,0,验收测试,,pdf,0,,0,0,,,8,,,,0,0/8页,8,,,0,,智加X100（硬件）验收测试记录表.pdf,疑似扫描页 8/8(chars<50),,0,前5页检出0个,书签0条,0
SRC-F0476730C9,,7,0.0,,0,验收测试,,pdf,0,,0,0,,,8,,,,0,0/8页,8,,,0,,3d打印 归档/7_智加X100（硬件）验收测试记录表.pdf,疑似扫描页 8/8(chars<50),,0,前5页检出0个,书签0条,0
SRC-0DF11E7A29,,13102,0.36,,0,说明书,,pdf,0,,0,0,,,43,,,,74,0/22页,22,,,0,,3d打印 归档/智加X100模块交付文件盖章/8_智加X100计算模块技术说明书V1.0.docx.pdf,疑似扫描页 1/22(chars<50),,23,前5页检出0个,书签0条,12
SRC-F0D610E0D6,,5979,0.61,,1,方案设计,,docx,0,,0,,22,,0,,,,19,,N/A(docx无页),,,0,,04_整体设计方案/20240305-Z0_智加X100星载计算机初样_总体设计方案_20240305.docx,,,48,5,,15
SRC-D24F1ADE39,,21180,0.49,,2,IDS,,docx,0,,0,,12,,31,,,,73,,N/A(docx无页),,,0,,02-3D打印卫星计算载荷-智加X100计算模块配套电源模块 IDS表/3D打印卫星计算载荷-智加X100计算模块配套电源模块 IDS表_20240924_签署.docx,,,21,15,,8
SRC-CE7695FE95,,7432,0.73,,1,环境试验,,docx,0,,0,,31,,14,,,,41,,N/A(docx无页),,,2,,3d打印 归档/6_智加X100计算模块_验收级环境试验大纲_20250120_终稿.docx,,,10,9,,1
SRC-321374652A,,23399,0.54,,15,总结报告,,docx,1,,0,,69,,15,,,,199,,N/A(docx无页),,,3,,3d打印 归档/X100计算模块正样件研制与质量总结报告_20250221.docx,,,101,24,,14
SRC-117228955F,,7535,0.61,,0,说明书,,docx,0,,0,,47,,22,,,,44,,N/A(docx无页),,,0,,3d打印 归档/8_智加X100计算模块技术说明书V1.0.docx,,,24,8,,12
SRC-81483943EB,,12364,0.17,,2,履历书,True,doc,0,,0,,,,,,,,5,,N/A,,libreoffice,0,,3d打印 归档/3_智加X100计算模块_产品履历书.doc,,,4,,,1
SRC-3D1529E6C0,,4152,0.28,,0,履历书,True,doc,0,,0,,,,,,,,3,,N/A,,libreoffice,0,,3d打印 归档/3_智加X100电源模块_产品履历书.doc,,,4,,,0
SRC-50FA015FB7,35,,,0,,交付清单,,xlsx,,0,,,,0/0,,4,1,0.95,,,1,,,,0,01_3D打印卫星_智加X100计算模块交付清单_20250124.xlsx,,主星,,,,
SRC-B0DA913F5C,146,,,0,,版本控制,,xlsx,,0,,,,0/0,,10,1,0.28,,,3,,,,0,3D打印_软件版本控制.xlsx,,Sheet1;Sheet2;Sheet3,,,,
SRC-3956F61513,726,,,0,,遥测汇总,,xlsx,,38,,,,1/0,,27,6,0.83,,,9,,,,4,3D打印星遥控遥测汇总表.xlsx,,修改记录;CPU遥控协议;CPU遥测协议;CPU遥控;CPU遥测;CPLD遥控协议;CPLD遥测协议;CPLD遥控;CPLD遥测,,,,
SRC-7878EEE3F2,81,,,0,,程控时间表,,xlsx,,0,,,,0/0,,2,1,0.58,,,2,,,,0,程控时间表8.31.xlsx,,Sheet1;Sheet2,,,,
